"Name","State","reference.protocol.weightage.self_preference","advantage.reward.kl_coeff","reference.update_every_n_steps","winrate"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE3-2/6","finished","0.2","0.3","3","0.859375"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE3-3/6","finished","0.2","0.3","3","0.859375"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE7-2/6","finished","0.2","0.3","7","0.84375"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE3-1/6","finished","0.2","0.3","3","0.875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE7-0/6","finished","0.2","0.3","7","0.9140625"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE3-6/6","finished","0.2","0.3","3","0.8359375"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE7-6/6","finished","0.2","0.3","7","0.8125"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE7-3/6","finished","0.2","0.3","7","0.921875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE3-0/6","finished","0.2","0.3","3","0.8515625"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE3-5/6","finished","0.2","0.3","3","0.8046875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE3-4/6","finished","0.2","0.3","3","0.8671875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE7-4/6","finished","0.2","0.3","7","0.8515625"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE7-5/6","finished","0.2","0.3","7","0.8046875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE7-1/6","finished","0.2","0.3","7","0.8046875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE1-0/6","finished","0.2","0.3","1","0.6875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE1-2/6","finished","0.2","0.3","1","0.7109375"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE1-5/6","finished","0.2","0.3","1","0.6953125"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE1-1/6","finished","0.2","0.3","1","0.6484375"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE1-6/6","finished","0.2","0.3","1","0.65625"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE1-4/6","finished","0.2","0.3","1","0.7109375"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.2-UE1-3/6","finished","0.2","0.3","1","0.671875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.6-UE3-0/6","finished","0.6","0.3","3","0.8828125"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.6-UE3-2/6","finished","0.6","0.3","3","0.859375"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.6-UE1-0/6","finished","0.6","0.3","1","0.65625"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.6-UE1-2/6","finished","0.6","0.3","1","0.6796875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.6-UE1-3/6","finished","0.6","0.3","1","0.703125"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.6-UE3-6/6","finished","0.6","0.3","3","0.859375"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.6-UE1-6/6","finished","0.6","0.3","1","0.6796875"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.6-UE1-4/6","finished","0.6","0.3","1","0.75"
"Llama-3.2-3B-Base-PPO-KL0.3-SP0.6-UE3-4/6","finished","0.6","0.3","3","0.8671875"
