"Name","advantage.reward.kl_coeff","reference.update_every_n_steps","local-winrate","global-winrate","self_preference"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE3-4/6-['personalfinance']","0.3","3","0.40625","0.484375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE3-1/6-['dating_advice']","0.3","3","0.515625","0.4609375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE3-0/6-['loseit']","0.3","3","0.609375","0.421875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE3-3/6-['offmychest']","0.3","3","0.5078125","0.53125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE3-5/6-['relationship_advice']","0.3","3","0.4296875","0.4765625","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE3-6/6-['tifu']","0.3","3","0.4765625","0.5234375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE3-2/6-['legaladvice']","0.3","3","0.4609375","0.4296875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE1-6/6-['tifu']","0.3","1","0.390625","0.46875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE1-4/6-['personalfinance']","0.3","1","0.3515625","0.4453125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE1-2/6-['legaladvice']","0.3","1","0.40625","0.3515625","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE1-1/6-['dating_advice']","0.3","1","0.3359375","0.4140625","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE1-3/6-['offmychest']","0.3","1","0.421875","0.4375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE1-0/6-['loseit']","0.3","1","0.5234375","0.4140625","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE1-5/6-['relationship_advice']","0.3","1","0.4453125","0.484375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE7-6/6-['tifu']","0.3","7","0.5234375","0.5859375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE7-5/6-['relationship_advice']","0.3","7","0.5703125","0.6328125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE7-2/6-['legaladvice']","0.3","7","0.53125","0.53125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE7-0/6-['loseit']","0.3","7","0.6796875","0.4609375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE7-3/6-['offmychest']","0.3","7","0.609375","0.6328125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE7-4/6-['personalfinance']","0.3","7","0.5390625","0.5546875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.3-SPnull-UE7-1/6-['dating_advice']","0.3","7","0.6171875","0.546875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE7-1/6-['dating_advice']","0.1","7","0.6015625","0.5078125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE7-3/6-['offmychest']","0.1","7","0.6328125","0.6484375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE7-2/6-['legaladvice']","0.1","7","0.5625","0.4921875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE7-0/6-['loseit']","0.1","7","0.6484375","0.53125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE7-4/6-['personalfinance']","0.1","7","0.453125","0.515625","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE7-5/6-['relationship_advice']","0.1","7","0.6015625","0.6953125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE7-6/6-['tifu']","0.1","7","0.6796875","0.625","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE1-1/6-['dating_advice']","0.1","1","0.3671875","0.390625","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE1-5/6-['relationship_advice']","0.1","1","0.4375","0.421875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE1-6/6-['tifu']","0.1","1","0.3984375","0.4921875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE1-2/6-['legaladvice']","0.1","1","0.375","0.3515625","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE1-3/6-['offmychest']","0.1","1","0.40625","0.3984375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE1-0/6-['loseit']","0.1","1","0.515625","0.421875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE1-4/6-['personalfinance']","0.1","1","0.375","0.359375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE1-4/6-['personalfinance']","0.03","1","0.3359375","0.3984375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE1-6/6-['tifu']","0.03","1","0.421875","0.4921875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE1-1/6-['dating_advice']","0.03","1","0.3828125","0.34375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE1-2/6-['legaladvice']","0.03","1","0.3359375","0.3203125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE1-3/6-['offmychest']","0.03","1","0.46875","0.3984375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE1-0/6-['loseit']","0.03","1","0.5078125","0.375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE1-5/6-['relationship_advice']","0.03","1","0.4609375","0.4453125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE7-4/6-['personalfinance']","0.03","7","0.5234375","0.609375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE7-0/6-['loseit']","0.03","7","0.65625","0.5390625","0.1428571492433548"
