"Name","reference.protocol.weightage.self_preference","kl_penalty.coeff","reference.update_every_n_steps","winrate"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-relationship_advice-5/6","0.2","0.03","7","0.7265625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-offmychest-3/6","0.2","0.03","7","0.6796875"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-legaladvice-2/6","0.2","0.03","7","0.265625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-tifu-6/6","0.2","0.03","7","0.6171875"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-loseit-0/6","0.2","0.03","7","0.390625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-dating_advice-1/6","0.2","0.03","7","0.4375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-personalfinance-4/6","0.2","0.03","7","0.8125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-loseit-0/6","0.6","0.1","1","0.78125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-offmychest-3/6","0.6","0.1","1","0.71875"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-dating_advice-1/6","0.6","0.1","1","0.65625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-legaladvice-2/6","0.6","0.1","1","0.2890625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-tifu-6/6","0.6","0.1","1","0.734375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-personalfinance-4/6","0.6","0.1","1","0.578125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-relationship_advice-5/6","0.6","0.1","1","0.375"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-dating_advice-1/6","1","0.03","1","0.46875"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-offmychest-3/6","1","0.03","1","0.4921875"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-relationship_advice-5/6","1","0.03","1","0.7578125"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-legaladvice-2/6","1","0.03","1","0.4375"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-tifu-6/6","1","0.03","1","0.5625"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-personalfinance-4/6","1","0.03","1","0.5703125"
