"Name","advantage.reward.kl_coeff","reference.protocol.weightage.self_preference","reference.update_every_n_steps","winrate"
"Mistral-7B-Base-PPO-KL0.1-SP0.2-UE1-personalfinance-4/6","0.1","0.2","1","0.765625"
"Mistral-7B-Base-PPO-KL0.1-SP0.2-UE1-relationship_advice-5/6","0.1","0.2","1","0.7890625"
"Mistral-7B-Base-PPO-KL0.1-SP0.2-UE1-offmychest-3/6","0.1","0.2","1","0.734375"
"Mistral-7B-Base-PPO-KL0.1-SP0.2-UE1-tifu-6/6","0.1","0.2","1","0.75"
"Mistral-7B-Base-PPO-KL0.1-SP0.2-UE1-legaladvice-2/6","0.1","0.2","1","0.6796875"
"Mistral-7B-Base-PPO-KL0.1-SP0.2-UE1-dating_advice-1/6","0.1","0.2","1","0.7578125"
"Mistral-7B-Base-PPO-KL0.1-SP0.2-UE1-loseit-0/6","0.1","0.2","1","0.78125"
"Mistral-7B-Base-PPO-KL0.3-SP0.0-UE1-legaladvice-2/6","0.3","0","1","0.703125"
"Mistral-7B-Base-PPO-KL0.3-SP0.0-UE1-relationship_advice-5/6","0.3","0","1","0.7265625"
"Mistral-7B-Base-PPO-KL0.3-SP0.0-UE1-tifu-6/6","0.3","0","1","0.5859375"
"Mistral-7B-Base-PPO-KL0.3-SP0.0-UE1-loseit-0/6","0.3","0","1","0.6640625"
"Mistral-7B-Base-PPO-KL0.3-SP0.0-UE1-dating_advice-1/6","0.3","0","1","0.65625"
"Mistral-7B-Base-PPO-KL0.3-SP0.0-UE1-personalfinance-4/6","0.3","0","1","0.703125"
"Mistral-7B-Base-PPO-KL0.3-SP0.0-UE1-offmychest-3/6","0.3","0","1","0.7109375"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE3-tifu-6/6","0.1","0","3","0.625"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE3-relationship_advice-5/6","0.1","0","3","0.7265625"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE3-legaladvice-2/6","0.1","0","3","0.734375"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE3-offmychest-3/6","0.1","0","3","0.8046875"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE3-dating_advice-1/6","0.1","0","3","0.7109375"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE3-personalfinance-4/6","0.1","0","3","0.703125"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE3-loseit-0/6","0.1","0","3","0.71875"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE7-offmychest-3/6","0.1","0","7","0.7421875"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE7-dating_advice-1/6","0.1","0","7","0.59375"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE7-personalfinance-4/6","0.1","0","7","0.640625"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE7-tifu-6/6","0.1","0","7","0.5625"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE7-relationship_advice-5/6","0.1","0","7","0.6953125"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE7-loseit-0/6","0.1","0","7","0.6953125"
"Mistral-7B-Base-PPO-KL0.1-SP0.0-UE7-legaladvice-2/6","0.1","0","7","0.7421875"
"Mistral-7B-Base-PPO-KL0.03-SP0.0-UE3-legaladvice-2/6","0.03","0","3","0.7265625"
"Mistral-7B-Base-PPO-KL0.03-SP0.0-UE3-dating_advice-1/6","0.03","0","3","0.765625"
