"Name","advantage.reward.kl_coeff","reference.protocol.weightage.self_preference","reference.update_every_n_steps","winrate"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE15-2/6","0.03","1","15","0.703125"
"Mistral-7B-Base-PPO-KL0.03-SP0.2-UE3-4/6","0.03","0.2","3","0.7890625"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE15-4/6","0.03","0.8","15","0.640625"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE3-5/6","0.03","1","3","0.7578125"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE15-6/6","0.03","1","15","0.75"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE30-2/6","0.03","0.8","30","0.7890625"
"Mistral-7B-Base-PPO-KL0.03-SP0.4-UE30-0/6","0.03","0.4","30","0.7265625"
"Mistral-7B-Base-PPO-KL0.03-SP0.2-UE1-5/6","0.03","0.2","1","0.71875"
"Mistral-7B-Base-PPO-KL0.03-SP0.2-UE50-1/6","0.03","0.2","50","0.7109375"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE7-3/6","0.03","0.6","7","0.765625"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE50-5/6","0.03","0.8","50","0.703125"
"Mistral-7B-Base-PPO-KL0.03-SP0.2-UE30-2/6","0.03","0.2","30","0.65625"
"Mistral-7B-Base-PPO-KL0.03-SP0.4-UE7-3/6","0.03","0.4","7","0.6640625"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE7-6/6","0.03","1","7","0.7109375"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE3-1/6","0.03","1","3","0.625"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE1-2/6","0.03","1","1","0.7109375"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE50-1/6","0.03","0.8","50","0.5234375"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE3-4/6","0.03","0.6","3","0.75"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE7-5/6","0.03","1","7","0.7265625"
"Mistral-7B-Base-PPO-KL0.03-SP0.4-UE1-0/6","0.03","0.4","1","0.796875"
"Mistral-7B-Base-PPO-KL0.03-SP0.2-UE1-2/6","0.03","0.2","1","0.796875"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE30-2/6","0.03","0.6","30","0.734375"
"Mistral-7B-Base-PPO-KL0.03-SP0.2-UE7-4/6","0.03","0.2","7","0.8359375"
"Mistral-7B-Base-PPO-KL0.03-SP0.2-UE3-6/6","0.03","0.2","3","0.7890625"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE50-2/6","0.03","0.8","50","0.6796875"
"Mistral-7B-Base-PPO-KL0.03-SP0.4-UE1-4/6","0.03","0.4","1","0.796875"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE7-3/6","0.03","0.8","7","0.75"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE15-2/6","0.03","0.6","15","0.71875"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE30-6/6","0.03","0.8","30","0.6015625"
"Mistral-7B-Base-PPO-KL0.03-SP0.4-UE50-6/6","0.03","0.4","50","0.6640625"
"Mistral-7B-Base-PPO-KL0.03-SP0.2-UE50-3/6","0.03","0.2","50","0.703125"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE50-5/6","0.03","0.6","50","0.734375"
"Mistral-7B-Base-PPO-KL0.03-SP0.4-UE15-5/6","0.03","0.4","15","0.734375"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE15-4/6","0.03","1","15","0.6796875"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE30-0/6","0.03","0.6","30","0.734375"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE30-2/6","0.03","1","30","0.6875"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE1-0/6","0.03","0.6","1","0.6640625"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE30-4/6","0.03","0.6","30","0.6640625"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE3-6/6","0.03","0.6","3","0.71875"
"Mistral-7B-Base-PPO-KL0.03-SP0.4-UE15-4/6","0.03","0.4","15","0.6953125"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE30-4/6","0.03","1","30","0.6328125"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE15-0/6","0.03","1","15","0.7265625"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE15-5/6","0.03","0.6","15","0.7734375"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE1-5/6","0.03","0.8","1","0.7265625"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE1-0/6","0.03","1","1","0.6328125"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE50-6/6","0.03","0.8","50","0.6328125"
"Mistral-7B-Base-PPO-KL0.03-SP0.8-UE30-3/6","0.03","0.8","30","0.703125"
"Mistral-7B-Base-PPO-KL0.03-SP1.0-UE7-4/6","0.03","1","7","0.765625"
"Mistral-7B-Base-PPO-KL0.03-SP0.6-UE50-6/6","0.03","0.6","50","0.625"
